blockchain,project,version,block_month,block_date,block_time,block_number,token_bought_symbol,token_sold_symbol,token_pair,token_bought_amount,token_sold_amount,token_bought_amount_raw,token_sold_amount_raw,amount_usd,token_bought_address,token_sold_address,taker,maker,project_contract_address,tx_hash,tx_from,tx_to,evt_index
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739725,sDAI,wstETH,sDAI-wstETH,0.05659741189,0.00002144067907,56597411885094691,21440679074174,0.06363743634,0xaf204776c7245bf4147c2612bf6e5972ee483701,0x6c76971f98945ae98dd7d4dfca8711ebea946ea6,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,,0xbc2acf5e821c5c9f8667a36bb1131dad26ed64f9,0xedb3d8173c31911a7b888bf6142804bff434ec0eb356c806f7b747ea67f0beb0,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,0x6ff6a738233a3b728d4a67ea92b0e2416e316149,26
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739725,wstETH,AURA,AURA-wstETH,0.000008738660078,0.08718119392,8738660077793,87181193920903221,0.02593695482,0x6c76971f98945ae98dd7d4dfca8711ebea946ea6,0x1509706a6c66ca549ff0cb464de88231ddbe213b,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,,0x00df7f58e1cf932ebe5f54de5970fb2bdf0ef06d,0xedb3d8173c31911a7b888bf6142804bff434ec0eb356c806f7b747ea67f0beb0,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,0x6ff6a738233a3b728d4a67ea92b0e2416e316149,31
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739725,wstETH,sDAI,sDAI-wstETH,0.00002713941808,0.07207227781,27139418081943,72072277812365480,0.08055169263,0x6c76971f98945ae98dd7d4dfca8711ebea946ea6,0xaf204776c7245bf4147c2612bf6e5972ee483701,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,,0xbc2acf5e821c5c9f8667a36bb1131dad26ed64f9,0xedb3d8173c31911a7b888bf6142804bff434ec0eb356c806f7b747ea67f0beb0,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,0x6ff6a738233a3b728d4a67ea92b0e2416e316149,44
ethereum,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,21066425,USDC,DAI,DAI-USDC,20.006452,20,20006452,2E+19,20.01231389,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6b175474e89094c44da98b954eedeac495271d0f,0x0f6e98a756a40dd050dc78959f45559f98d3289d,,0x06df3b2bbb68adc8b0e302443692037ed9f91b42,0x4750e7f7c88f235bceea4b44b75f40b73660e71a6ae36e275d7989926e001263,0x0f6e98a756a40dd050dc78959f45559f98d3289d,0xcf5540fffcdc3d510b18bfca6d2b9987b0772559,361
optimism,uniswap,3,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,127273699,WETH,USDC,USDC-WETH,0.02185289898,54.811297,21852898982254706,54811297,54.84422058,0x4200000000000000000000000000000000000006,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x802b65b5d9016621e66003aed0b16615093f328b,,0x85149247691df622eaf1a8bd0cafd40bc45154a9,0x289ff167c8cfc438a4a314eafb375d84e12840f797b1d9cf53604d8c0b78bee8,0xec608f2e377c3e80ee06661dfa8a4335be5bb59f,0x802b65b5d9016621e66003aed0b16615093f328b,8
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739725,sDAI,USDT,sDAI-USDT,0.07207227781,0.08085,72072277812365480,80850,0.0808427235,0xaf204776c7245bf4147c2612bf6e5972ee483701,0x4ecaba5870353805a9f068101a40e0f32ed605c6,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,,0xfc095c811fe836ed12f247bcf042504342b73fb7,0xedb3d8173c31911a7b888bf6142804bff434ec0eb356c806f7b747ea67f0beb0,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,0x6ff6a738233a3b728d4a67ea92b0e2416e316149,43
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739725,wstETH,BAL,BAL-wstETH,0.00002144067907,0.03415913884,21440679074174,34159138844199437,0.06363743634,0x6c76971f98945ae98dd7d4dfca8711ebea946ea6,0x7ef541e2a22058048904fe5744f9c7e4c57af717,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,,0x00df7f58e1cf932ebe5f54de5970fb2bdf0ef06d,0xedb3d8173c31911a7b888bf6142804bff434ec0eb356c806f7b747ea67f0beb0,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,0x6ff6a738233a3b728d4a67ea92b0e2416e316149,25
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739725,WXDAI,USDT,USDT-WXDAI,0.02584167591,0.025871,25841675905857090,25871,0.02586048865,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,0x4ecaba5870353805a9f068101a40e0f32ed605c6,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,,0x2086f52651837600180de173b09470f54ef74910,0xedb3d8173c31911a7b888bf6142804bff434ec0eb356c806f7b747ea67f0beb0,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,0x6ff6a738233a3b728d4a67ea92b0e2416e316149,34
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739725,USDT,sDAI,sDAI-USDT,0.025871,0.02306762462,25871,23067624617739405,0.02586867161,0x4ecaba5870353805a9f068101a40e0f32ed605c6,0xaf204776c7245bf4147c2612bf6e5972ee483701,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,,0xfc095c811fe836ed12f247bcf042504342b73fb7,0xedb3d8173c31911a7b888bf6142804bff434ec0eb356c806f7b747ea67f0beb0,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,0x6ff6a738233a3b728d4a67ea92b0e2416e316149,33
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739725,WXDAI,USDT,USDT-WXDAI,0.06340595969,0.063477,63405959685828381,63477,0.06345211922,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,0x4ecaba5870353805a9f068101a40e0f32ed605c6,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,,0x2086f52651837600180de173b09470f54ef74910,0xedb3d8173c31911a7b888bf6142804bff434ec0eb356c806f7b747ea67f0beb0,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,0x6ff6a738233a3b728d4a67ea92b0e2416e316149,28
gnosis,balancer,2,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,36739725,sDAI,wstETH,sDAI-wstETH,0.02306762462,0.000008738660078,23067624617739405,8738660077793,0.02593695482,0xaf204776c7245bf4147c2612bf6e5972ee483701,0x6c76971f98945ae98dd7d4dfca8711ebea946ea6,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,,0xbc2acf5e821c5c9f8667a36bb1131dad26ed64f9,0xedb3d8173c31911a7b888bf6142804bff434ec0eb356c806f7b747ea67f0beb0,0xfbcf4d80d3c267876f6795c02aab10de751da8a4,0x6ff6a738233a3b728d4a67ea92b0e2416e316149,32
optimism,uniswap,3,2024-10-01 0:00,2024-10-28 0:00,2024-10-28 20:09,127273699,WETH,USDC,USDC-WETH,0.01424582628,35.731851,14245826284683635,35731851,35.75275023,0x4200000000000000000000000000000000000006,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0x802b65b5d9016621e66003aed0b16615093f328b,,0x1fb3cf6e48f1e7b10213e7b6d87d4c073c7fdb7b,0x768d224e39e0e3a1a329b42142c12fd7d302de43e34c036e20f3b190c8f2bc06,0x4205b341145da7374f171ada5395650ac5541465,0x802b65b5d9016621e66003aed0b16615093f328b,5
